zb_id,valence,continent,country,strategy,theme,variable,strength
1.15.6,1,South America,Brazil,FSC,SOC,Compliance with harvest regulations,
1.15.7,1,South America,Brazil,FSC,ENV,"Deforestation, fragmentation and burning",
1.15.8,,South America,Brazil,FSC,ENV,"Deforestation, fragmentation and burning",
1.15.9,,South America,Brazil,FSC,ENV,Environmental crime,
1.16.1,,South America,Brazil,FSC,ECON,Profit,
1.17.1,,South America,Brazil,FSC,ENV,"Canopy loss, gap size",
1.17.2,,South America,Brazil,FSC,ENV,"Canopy loss, gap size",
1.17.3,,South America,Brazil,FSC,ENV,Collateral damage,
1.17.4,,South America,Brazil,FSC,ENV,Ground disturbance,
1.17.5,,South America,Brazil,FSC,ECON,Pre-logging costs,
1.17.6,,South America,Brazil,FSC,ECON,Skidding cost,
1.17.7,,South America,Brazil,FSC,ECON,Worker productivity,
1.18.1,,South America,Brazil,FSC,ENV,"Canopy loss, gap size",
1.18.2,,South America,Brazil,FSC,ENV,Ground disturbance,
1.19.1,,South America,Bolivia,FSC,ECON,Price premium,
1.19.10,,South America,Bolivia,FSC,ECON,Price premium,
1.19.11,,South America,Bolivia,FSC,ECON,Price premium,
1.19.12,,South America,Bolivia,FSC,ECON,Price premium,
1.19.13,,South America,Bolivia,FSC,ECON,Price premium,
1.19.2,,South America,Bolivia,FSC,ECON,Price premium,
1.19.3,,South America,Bolivia,FSC,ECON,Price premium,
1.19.4,,South America,Bolivia,FSC,ECON,Price premium,
1.19.5,,South America,Bolivia,FSC,ECON,Price premium,
1.19.6,,South America,Bolivia,FSC,ECON,Price premium,
1.19.7,,South America,Bolivia,FSC,ECON,Price premium,
1.19.8,,South America,Bolivia,FSC,ECON,Price premium,
1.19.9,,South America,Bolivia,FSC,ECON,Price premium,
1.2.1,,Central America,Guatemala,FSC,ENV,"Deforestation, fragmentation and burning",
1.2.10,,Central America,Guatemala,FSC,ENV,Environmental crime,
1.2.11,,Central America,Guatemala,FSC,ENV,Environmental crime,
1.2.12,,Central America,Guatemala,FSC,ENV,Environmental crime,
1.2.13,,Central America,Guatemala,FSC,SOC,Internal conflict,
1.2.14,,Central America,Guatemala,FSC,SOC,Internal conflict,
1.2.15,,Central America,Guatemala,FSC,SOC,"Land grabbing, land tenure",
1.2.16,,Central America,Guatemala,FSC,SOC,"Land grabbing, land tenure",
1.2.17,,Central America,Guatemala,FSC,SOC,"Land grabbing, land tenure",
1.2.18,,Central America,Guatemala,FSC,SOC,Internal conflict,
1.2.19,,Central America,Guatemala,FSC,ENV,Road and skid trail density,
1.2.2,,Central America,Guatemala,FSC,ENV,"Deforestation, fragmentation and burning",
1.2.20,,Central America,Guatemala,FSC,ENV,Road and skid trail density,
1.2.21,,Central America,Guatemala,FSC,ENV,Road and skid trail density,
1.2.3,,Central America,Guatemala,FSC,ENV,"Deforestation, fragmentation and burning",
1.2.4,,Central America,Guatemala,FSC,ENV,"Deforestation, fragmentation and burning",
1.2.5,,Central America,Guatemala,FSC,ENV,"Deforestation, fragmentation and burning",
1.2.6,,Central America,Guatemala,FSC,ENV,"Deforestation, fragmentation and burning",
1.2.7,,Central America,Guatemala,FSC,ENV,"Deforestation, fragmentation and burning",
1.2.8,,Central America,Guatemala,FSC,ENV,"Deforestation, fragmentation and burning",
1.2.9,,Central America,Guatemala,FSC,ENV,"Deforestation, fragmentation and burning",
1.20.1,,Asia,Indonesia,FSC,ENV,"Canopy loss, gap size",
1.20.2,,Asia,Indonesia,FSC,ENV,Collateral damage,
1.20.3,,Asia,Indonesia,FSC,ENV,Collateral damage,
1.20.4,,Asia,Indonesia,FSC,ENV,Collateral damage,
1.20.5,,Asia,Indonesia,FSC,ENV,Road and skid trail density,
1.21.1,,Africa,Cameroon,FSC,ENV,Collateral damage,
1.22.1,,Asia,Malaysia,FSC,ENV,"Carbon stock, emissions",
1.22.2,,Asia,Malaysia,FSC,ENV,Collateral damage,
1.23.1,,Asia,Malaysia,FSC,ENV,Collateral damage,
1.23.2,,Asia,Malaysia,FSC,ENV,Collateral damage,
1.23.3,-1,Asia,Malaysia,FSC,ENV,Ground disturbance,
1.23.4,,Asia,Malaysia,FSC,ECON,Total cost of logging operations,
1.23.5,,Asia,Malaysia,FSC,ECON,Worker productivity,
1.24.1,,Africa,Tanzania,FSC,SOC,Access to resources,
1.24.10,,Africa,Kenya,FSC,SOC,Community wellbeing and livelihoods,
1.24.11,,Africa,Tanzania,FSC,SOC,Community wellbeing and livelihoods,
1.24.12,,Africa,Kenya,FSC,SOC,Community wellbeing and livelihoods,
1.24.13,,Africa,Kenya,FSC,SOC,Community wellbeing and livelihoods,
1.24.14,,Africa,Kenya,FSC,SOC,Community wellbeing and livelihoods,
1.24.15,,Africa,Kenya,FSC,SOC,Community wellbeing and livelihoods,
1.24.16,,Africa,Tanzania,FSC,SOC,Community wellbeing and livelihoods,
1.24.17,1,Africa,Tanzania,FSC,ENV,"Deforestation, fragmentation and burning",
1.24.18,1,Africa,Tanzania,FSC,ENV,"Deforestation, fragmentation and burning",
1.24.19,1,Africa,Tanzania,FSC,SOC,Direct econ. benefits to community,
1.24.2,1,Africa,Kenya,FSC,SOC,Access to resources,
1.24.20,1,Africa,Tanzania,FSC,SOC,Direct econ. benefits to community,
1.24.21,,Africa,Kenya,FSC,ENV,Environmental crime,
1.24.22,,Africa,Tanzania,FSC,ENV,Environmental crime,
1.24.23,,Africa,Kenya,FSC,SOC,"Equality, less marginalization",
1.24.24,,Africa,Tanzania,FSC,SOC,"Equality, less marginalization",
1.24.25,,Africa,Tanzania,FSC,SOC,"Equality, less marginalization",
1.24.26,,Africa,Kenya,FSC,SOC,Human- wildlife conflict,
1.24.27,,Africa,Tanzania,FSC,SOC,Human- wildlife conflict,
1.24.28,,Africa,Tanzania,FSC,SOC,Infrastructure and Institutions,
1.24.29,,Africa,Tanzania,FSC,SOC,Infrastructure and Institutions,
1.24.3,1,Africa,Tanzania,FSC,SOC,Access to resources,
1.24.30,1,Africa,Kenya,FSC,ECON,Profit,
1.24.4,1,Africa,Kenya,FSC,SOC,Access to resources,
1.24.5,,Africa,Tanzania,FSC,SOC,Access to resources,
1.24.6,1,Africa,Kenya,FSC,SOC,Access to resources,
1.24.7,,Africa,Kenya,FSC,SOC,"Awareness, empowerment, participation",
1.24.8,,Africa,Kenya,FSC,SOC,Community wellbeing and livelihoods,
1.24.9,,Africa,Tanzania,FSC,SOC,Community wellbeing and livelihoods,
1.25.1,,Asia,Indonesia,FSC,SOC,Access to resources,
1.25.10,,Asia,Indonesia,FSC,ENV,Water regulation,
1.25.2,,Asia,Indonesia,FSC,SOC,Access to resources,
1.25.3,,Asia,Indonesia,FSC,SOC,"Awareness, empowerment, participation",
1.25.4,,Asia,Indonesia,FSC,SOC,"Awareness, empowerment, participation",
1.25.5,,Asia,Indonesia,FSC,SOC,Conflict with company and government,
1.25.6,,Asia,Indonesia,FSC,SOC,Direct econ. benefits to community,
1.25.7,,Asia,Indonesia,FSC,ENV,Hunting,
1.25.8,,Asia,Indonesia,FSC,SOC,Infrastructure and Institutions,
1.25.9,,Asia,Indonesia,FSC,SOC,Internal conflict,
1.26.1,,Meta-analysis,Meta-analysis,FSC,ECON,Profit,
1.27.1,,South America,Brazil,FSC,SOC,Access to resources,
1.27.2,,South America,Brazil,FSC,SOC,"Awareness, empowerment, participation",
1.27.3,,South America,Brazil,FSC,SOC,Compliance with harvest regulations,
1.27.4,,South America,Brazil,FSC,SOC,Direct econ. benefits to community,
1.27.5,,South America,Brazil,FSC,SOC,Infrastructure and Institutions,
1.27.6,,South America,Brazil,FSC,SOC,Living and working conditions of employees,
1.28.1,,Pantropical,Pantropical,FSC,ENV,Animal diversity,
1.29.1,,Pantropical,Pantropical,FSC,ENV,Animal diversity,
1.3.1,,#REF!,#REF!,FSC,#REF!,#REF!,
1.3.2,,#REF!,#REF!,FSC,#REF!,#REF!,
1.3.3,,#REF!,#REF!,FSC,#REF!,#REF!,
1.3.4,,#REF!,#REF!,FSC,#REF!,#REF!,
1.3.5,,#REF!,#REF!,FSC,#REF!,#REF!,
1.3.6,,#REF!,#REF!,FSC,#REF!,#REF!,
1.3.7,,#REF!,#REF!,FSC,#REF!,#REF!,
1.3.8,,Africa,"Cameroon, Gabon, Congo Rep.",FSC,SOC,Living and working conditions of employees,
1.30.1,,Asia,Malaysia,FSC,ENV,"Carbon stock, emissions",
1.30.2,,Asia,Malaysia,FSC,ENV,"Carbon stock, emissions",
1.30.3,,Asia,Malaysia,FSC,ENV,"Carbon stock, emissions",
1.30.4,,Asia,Malaysia,FSC,ENV,"Carbon stock, emissions",
1.31.1,,Africa,Cameroon,FSC,SOC,"Awareness, empowerment, participation",
1.31.2,,Africa,Cameroon,FSC,SOC,Direct econ. benefits to community,
1.31.3,,Africa,Cameroon,FSC,SOC,Internal conflict,
1.31.4,,Africa,Cameroon,FSC,SOC,Internal conflict,
1.32.1,,Asia,Malaysia,FSC,ECON,Price premium,
1.33.1,,South America,Brazil,FSC,SOC,Conflict with company and government,
1.33.2,,South America,Brazil,FSC,ECON,Management and administration,
1.33.3,,South America,Brazil,FSC,ECON,Management and administration,
1.33.4,,South America,Brazil,FSC,ECON,Market access,
1.33.5,,South America,Brazil,FSC,ECON,Price premium,
1.33.6,,South America,Brazil,FSC,ECON,Profit,
1.34.1,,South America,Guatemala,FSC,SOC,"Awareness, empowerment, participation",
1.34.10,,South America,Guatemala,FSC,SOC,"Land grabbing, land tenure",
1.34.11,,South America,Guatemala,FSC,SOC,Living and working conditions of employees,
1.34.12,,South America,Guatemala,FSC,SOC,Living and working conditions of employees,
1.34.13,,South America,Guatemala,FSC,SOC,Living and working conditions of employees,
1.34.14,,South America,Guatemala,FSC,SOC,Living and working conditions of employees,
1.34.15,,South America,Guatemala,FSC,SOC,Living and working conditions of employees,
1.34.16,,South America,Guatemala,FSC,ECON,Management and administration,
1.34.17,,South America,Guatemala,FSC,ECON,Market access,
1.34.18,,South America,Guatemala,FSC,ECON,Price premium,
1.34.19,,South America,Guatemala,FSC,ENV,Set asides and buffer zones,
1.34.2,,South America,Guatemala,FSC,SOC,"Awareness, empowerment, participation",
1.34.20,,South America,Guatemala,FSC,ECON,Timber stock (sustainability of income),
1.34.21,,South America,Guatemala,FSC,ECON,Timber stock (sustainability of income),
1.34.22,,South America,Guatemala,FSC,ENV,Tree diversity,
1.34.3,,South America,Guatemala,FSC,SOC,"Awareness, empowerment, participation",
1.34.4,,South America,Guatemala,FSC,SOC,"Awareness, empowerment, participation",
1.34.5,,South America,Guatemala,FSC,SOC,Compliance with harvest regulations,
1.34.6,,South America,Guatemala,FSC,ENV,"Deforestation, fragmentation and burning",
1.34.7,,South America,Guatemala,FSC,ECON,Harvest efficiency,
1.34.8,,South America,Guatemala,FSC,SOC,Internal conflict,
1.34.9,,South America,Guatemala,FSC,SOC,Internal conflict,
1.35.1,,South America,Guyana,FSC,ENV,"Canopy loss, gap size",
1.35.10,,South America,Guyana,FSC,ECON,Worker productivity,
1.35.2,,South America,Guyana,FSC,ENV,"Canopy loss, gap size",
1.35.3,,South America,Guyana,FSC,ENV,Collateral damage,
1.35.4,,South America,Guyana,FSC,ENV,Ground disturbance,
1.35.5,,South America,Guyana,FSC,ECON,Pre-logging costs,
1.35.6,,South America,Guyana,FSC,ECON,Profit,
1.35.7,,South America,Guyana,FSC,ECON,Skidding cost,
1.35.8,1,South America,Guyana,FSC,ECON,Total cost of logging operations,
1.35.9,-1,South America,Brazil,FSC,ECON,Total cost of logging operations,
1.36.1,-1,South America,Ecuador,FSC,ENV,Ground disturbance,
1.36.2,1,South America,Ecuador,FSC,ECON,Pre-logging costs,
1.36.3,1,South America,Ecuador,FSC,ECON,Skidding cost,
1.36.4,1,South America,Ecuador,FSC,ECON,Total cost of logging operations,
1.36.5,1,South America,Ecuador,FSC,ECON,Worker productivity,
1.37.1,,South America,Brazil,FSC,ENV,"Canopy loss, gap size",
1.37.2,1,South America,Brazil,FSC,ENV,"Canopy loss, gap size",
1.37.3,1,South America,Brazil,FSC,ENV,Collateral damage,
1.37.4,1,South America,Brazil,FSC,ENV,Ground disturbance,
1.37.5,,South America,Brazil,FSC,ECON,Pre-logging costs,
1.37.6,-1,South America,Brazil,FSC,ECON,Profit,
1.37.7,1,South America,Brazil,FSC,ECON,Skidding cost,
1.37.8,,South America,Brazil,FSC,ECON,Worker productivity,
1.38.1,1,South America,Brazil,FSC,ENV,"Canopy loss, gap size",
1.38.10,1,South America,Brazil,FSC,ECON,Pre-logging costs,
1.38.11,1,South America,Brazil,FSC,ECON,Profit,
1.38.12,1,South America,Brazil,FSC,ECON,Profit,
1.38.13,,South America,Brazil,FSC,ECON,Skidding cost,
1.38.14,1,South America,Brazil,FSC,ECON,Worker productivity,
1.38.15,,South America,Brazil,FSC,ECON,Total cost of logging operations,
1.38.16,,South America,Brazil,FSC,ECON,Total cost of logging operations,
1.38.17,,South America,Brazil,FSC,ECON,Worker productivity,
1.38.18,,South America,Brazil,FSC,ECON,Skidding cost,
1.38.2,,South America,Brazil,FSC,ENV,"Canopy loss, gap size",
1.38.3,,South America,Brazil,FSC,ENV,"Canopy loss, gap size",
1.38.4,,South America,Brazil,FSC,ENV,"Canopy loss, gap size",
1.38.5,,South America,Brazil,FSC,ENV,Collateral damage,
1.38.6,,South America,Brazil,FSC,ENV,Collateral damage,
1.38.7,,South America,Brazil,FSC,ENV,Ground disturbance,
1.38.8,,South America,Brazil,FSC,ENV,Ground disturbance,
1.38.9,,South America,Brazil,FSC,ECON,Pre-logging costs,
1.39.1,,South America,Guyana,FSC,ECON,Pre-logging costs,
1.39.2,,South America,Guyana,FSC,ECON,Skidding cost,
1.39.3,,South America,Guyana,FSC,ECON,Total cost of logging operations,
1.4.1,,Africa,Madagascar,FSC,ENV,"Deforestation, fragmentation and burning",
1.4.2,,Africa,Madagascar,FSC,ENV,"Deforestation, fragmentation and burning",
1.40.1,,Pantropical,Pantropical,FSC,ENV,"Carbon stock, emissions",
1.40.2,,Pantropical,Pantropical,FSC,ENV,Collateral damage,
1.40.3,,Pantropical,Pantropical,FSC,ENV,Tree diversity,
1.41.1,,South America,Bolivia,FSC,ECON,Price premium,
1.41.2,,South America,Bolivia,FSC,ECON,Profit,
1.42.1,,Asia,Indonesia,FSC,ENV,"Canopy loss, gap size",
1.42.10,,Asia,Malaysia,FSC,ECON,Profit,
1.42.11,,Asia,Malaysia,FSC,ECON,Profit,
1.42.12,,Asia,Indonesia,FSC,ECON,Profit,
1.42.13,,South America,Brazil,FSC,ECON,Skidding costs,
1.42.2,,South America,Brazil,FSC,SOC,Jobs,
1.42.3,,Asia,Indonesia,FSC,SOC,Jobs,
1.42.4,,Asia,Malaysia,FSC,SOC,Jobs,
1.42.5,,Asia,Indonesia,FSC,ECON,Management and administration,
1.42.6,,Asia,Malaysia,FSC,ECON,Market access,
1.42.7,,South America,Brazil,FSC,ECON,Price premium,
1.42.8,,Asia,Malaysia,FSC,ECON,Price premium,
1.42.9,,South America,Brazil,FSC,ECON,Profit,
1.43.1,,Asia,Indonesia,FSC,SOC,Access to resources,
1.43.10,,Asia,Indonesia,FSC,SOC,Infrastructure and Institutions,
1.43.2,,Asia,Indonesia,FSC,SOC,Access to resources,
1.43.3,,Asia,Indonesia,FSC,SOC,Community wellbeing and livelihoods,
1.43.4,,Asia,Indonesia,FSC,SOC,Community wellbeing and livelihoods,
1.43.5,1,Asia,Indonesia,FSC,SOC,Community wellbeing and livelihoods,
1.43.6,1,Asia,Indonesia,FSC,SOC,Community wellbeing and livelihoods,
1.43.7,1,Asia,Indonesia,FSC,ENV,"Deforestation, fragmentation and burning",
1.43.8,,Asia,Indonesia,FSC,ENV,"Deforestation, fragmentation and burning",
1.43.9,,Asia,Indonesia,FSC,SOC,Infrastructure and Institutions,
1.44.1,,Asia,Malaysia,FSC,ENV,Collateral damage,
1.44.10,,Asia,Malaysia,FSC,ECON,Worker productivity,
1.44.2,,Asia,Malaysia,FSC,SOC,Compliance with harvest regulations,
1.44.3,,Asia,Malaysia,FSC,ECON,Pre-logging costs,
1.44.4,,Asia,Malaysia,FSC,ECON,Profit,
1.44.5,,Asia,Malaysia,FSC,ECON,Profit,
1.44.6,,Asia,Malaysia,FSC,ENV,Road and skid trail density,
1.44.7,,Asia,Malaysia,FSC,ENV,Set asides and buffer zones,
1.44.8,,Asia,Malaysia,FSC,ECON,Timber stock (sustainability of income),
1.44.9,,Asia,Malaysia,FSC,ECON,Total cost of logging operations,
1.45.1,,Asia,Indonesia,FSC,ECON,Profit,
1.45.2,,Asia,Indonesia,FSC,ECON,Total cost of logging operations,
1.46.1,,Asia,Malaysia,FSC,ECON,Profit,
1.46.2,,Asia,Malaysia,FSC,ECON,Total cost of logging operations,
1.47.1,,Africa,Gabon,FSC,ECON,Profit,
1.47.2,,Africa,Gabon,FSC,ECON,Total cost of logging operations,
1.48.1,,Asia,Malaysia,FSC,ECON,Profit,
1.48.2,,Asia,Malaysia,FSC,ECON,Total cost of logging operations,
1.49.1,,Asia,Malaysia,FSC,ECON,Profit,
1.49.2,,Asia,Malaysia,FSC,ECON,Total cost of logging operations,
1.5.2,,South America,Bolivia,FSC,ECON,Price premium,
1.50.1,,South America,Brazil,FSC,ENV,Collateral damage,
1.50.10,,South America,Brazil,FSC,ECON,Management and administration,
1.50.11,,South America,Brazil,FSC,ECON,Price premium,
1.50.12,,South America,Brazil,FSC,ECON,Price premium,
1.50.13,,South America,Brazil,FSC,ECON,Market access,
1.50.14,,South America,Brazil,FSC,ECON,Market access,
1.50.15,,South America,Brazil,FSC,ECON,Total cost of logging operations,
1.50.16,,South America,Brazil,FSC,ECON,Total cost of logging operations,
1.50.2,,South America,Brazil,FSC,ENV,Collateral damage,
1.50.3,,South America,Brazil,FSC,SOC,Community wellbeing and livelihoods,
1.50.4,,South America,Brazil,FSC,SOC,Community wellbeing and livelihoods,
1.50.5,,South America,Brazil,FSC,SOC,Infrastructure and Institutions,
1.50.6,,South America,Brazil,FSC,SOC,Infrastructure and Institutions,
1.50.7,,South America,Brazil,FSC,SOC,Living and working conditions of employees,
1.50.8,,South America,Brazil,FSC,SOC,Living and working conditions of employees,
1.50.9,,South America,Brazil,FSC,ECON,Management and administration,
1.6.1,,South America,Brazil,FSC,ECON,Price premium,
1.7.1,,Asia,Malaysia,FSC,ENV,Animal diversity,
1.7.2,,Asia,Malaysia,FSC,ENV,"Carbon stock, emissions",
1.7.3,,Asia,Malaysia,FSC,ENV,Set asides and buffer zones,
1.81,,Africa,Tanzania,FSC,ECON,Timber stock (sustainability of income),
1.9.1,,Central America,Mexico,FSC,ENV,"Deforestation, fragmentation and burning",
1.9.2,,Central America,Mexico,FSC,SOC,Infrastructure and Institutions,
1.9.3,,Central America,Mexico,FSC,SOC,Jobs,
1.9.4,,Central America,Mexico,FSC,ENV,Set asides and buffer zones,
1.9.5,,Central America,Mexico,FSC,ECON,Timber stock (sustainability of income),
