id,zb_id,valence,continent,fips,strategy,theme,variable,type,conclusion
52,1.23.5,-1,asia,MY,FSC,ECON,workerproductivity,type3,"Time efficiency in skidding and felling was higher in CL, because RIL requires more careful harvest"
53,1.26.1,-1,pantropical,PAN,FSC,ECON,profit,type3,Sustainable forest management systematically less profitable than CL; potentially profitable at a discount rate of 5-10%
54,1.27.1,-1,southandcentralamerica,BR,FSC,SOC,accesstoland,type3,"Perceived decline in animal abundance for hunting (tapir, jaguar, deer)"
55,1.27.2,1,southandcentralamerica,BR,FSC,SOC,awarenessempowermentparticipation,type3,All workers reported better and new skills
56,1.27.3,1,southandcentralamerica,BR,FSC,SOC,compliancewithlawsandregulations,type3,"Labor law, harvest regulations were followed"
57,1.27.4,0,southandcentralamerica,BR,FSC,SOC,directeconomicbenefits,type3,Local level of investment in community did not change with RIL
58,1.27.5,1,southandcentralamerica,BR,FSC,SOC,infrastructureandinstitutions,type3,Roads improved with project implementation
59,1.27.6,1,southandcentralamerica,BR,FSC,SOC,livingandworkingconditionsofemployees,type3,Perceived welfare and purchasing power of workers employed by the project increased with project implementation
60,1.28.1,1,pantropical,"BL,BR,FG,GY,MY,CF,UG,VE",FSC,ENV,animaldiversity,type1,Changes (both positive and negative) in bird abundance lower in forests that are logged with RIL
61,1.29.1,1,pantropical,PAN,FSC,ENV,animaldiversity,type1,Smaller shifts in animal abundance under RIL
62,1.3.1,0,africa,"CM,GB,CF",FSC,SOC,accesstoland,type3,"The conventional concessions are perceived as less of a constraint to hunting, NTFP gathering, and shifting agriculture, but the difference is not significant."
63,1.3.10,0,africa,"CM,GB,CF",FSC,SOC,livingandworkingconditionsofemployees,type3,"This variable had a better outcome in FSC-certified concessions, but the difference was not significant."
64,1.3.11,0,africa,"CM,GB,CF",FSC,SOC,livingandworkingconditionsofemployees,type3,"This variable had a better outcome in FSC-certified concessions, but the difference was not significant."
65,1.3.12,0,africa,"CM,GB,CF",FSC,SOC,livingandworkingconditionsofemployees,type3,"These variables had better outcomes in FSC-certified concessions, but the difference was not significant."
66,1.3.2,0,africa,"CM,GB,CF",FSC,ENV,deforestationfragmentationanddegradation,type3,"There was more shifting agriculture in the certified concessions, but this difference was not significant."
67,1.3.3,0,africa,"CM,GB,CF",FSC,ENV,illegalhuntingloggingmining,type3,"There was more hunting and NTFP gathering in the conventional concessions than in certified ones, but the difference was not significant."
68,1.3.4,0,africa,"CM,GB,CF",FSC,SOC,equalityequitylessmarginalization,type3,There was no difference in the percentage of staff who were women. This was low in both certified and conventional concessions (3% in both cases).
69,1.3.5,1,africa,"CM,GB,CF",FSC,SOC,infrastructureandinstitutions,type3,This variable had significantly better outcome in FSC-certified concessions.
70,1.3.6,1,africa,"CM,GB,CF",FSC,SOC,infrastructureandinstitutions,type3,This variable had significantly better outcome in FSC-certified concessions.
71,1.3.7,1,africa,"CM,GB,CF",FSC,SOC,communitywellbeingandlivelihoods,type3,This variable had significantly better outcome in FSC-certified concessions.
72,1.3.8,1,africa,"CM,GB,CF",FSC,SOC,livingandworkingconditionsofemployees,type3,"These variables had better outcomes in FSC-certified concessions, and the difference was significant."
73,1.3.9,1,africa,"CM,GB,CF",FSC,SOC,livingandworkingconditionsofemployees,type3,"These variables had better outcomes in FSC-certified concessions, and the difference was significant."
74,1.30.1,1,asia,MY,FSC,ENV,carbonstockemissions,type3,Above-ground biomass was higher 2 years post-logging in RIL concession
75,1.30.2,1,asia,MY,FSC,ENV,carbonstockemissions,type3,Root biomass was higher 2 years post logging in RIL concession
76,1.30.3,1,asia,MY,FSC,ENV,carbonstockemissions,type3,Soil carbon was higher 2 years post logging in RIL concession
77,1.30.4,1,asia,MY,FSC,ENV,carbonstockemissions,type3,Necromass was lower 2 years post-logging in RIL concession
78,1.32.1,1,asia,MY,FSC,ECON,pricepremium,type3,"17% to 24% price difference on average, but highest for expensive species groups"
79,1.33.1,1,southandcentralamerica,BR,FSC,SOC,conflict,type3,"Public confidence, communication with landowners was perceived to be better after certification was implemented"
80,1.33.2,1,southandcentralamerica,BR,FSC,ECON,managementandadministration,type3,"Management systems and performance, and forest management practices were perceived to be better after certification was implemented"
81,1.33.3,0,southandcentralamerica,BR,FSC,ECON,managementandadministration,type3,Expectation of simplified regulation was not perceived as fulfilled after certification was implemented
82,1.33.4,1,southandcentralamerica,BR,FSC,ECON,marketaccess,type3,"After certification, companies either gained or retained access to markets that demand certified wood"
83,1.33.5,0,southandcentralamerica,BR,FSC,ECON,pricepremium,type3,No price premium was achieved after certification was implemented
84,1.33.6,0,southandcentralamerica,BR,FSC,ECON,profit,type3,Profitability was overall perceived to not have changed
85,1.35.1,-1,southandcentralamerica,GY,FSC,ENV,canopylossgapsize,type3,"Guyana-H, canopy loss higher under RIL"
86,1.35.10,-1,southandcentralamerica,GY,FSC,ECON,workerproductivity,type3,"Guyana-H, RIL more time consuming"
87,1.35.2,-1,southandcentralamerica,GY,FSC,ENV,canopylossgapsize,type3,"Guyana-H, gap size larger under RIL"
88,1.35.3,1,southandcentralamerica,GY,FSC,ENV,collateraldamage,type3,"Guyana-H, fewer damaged trees under RIL"
89,1.35.4,1,southandcentralamerica,GY,FSC,ENV,grounddisturbance,type3,"Guyana-H, less ground area disturbed under RIL"
90,1.35.5,-1,southandcentralamerica,GY,FSC,ECON,preloggingcosts,type3,"Guyana-H, planning and infrastructure costs higher under RIL"
91,1.35.6,-1,southandcentralamerica,GY,FSC,ECON,profit,type3,Guyana-H profit margins lower under RIL
92,1.35.7,1,southandcentralamerica,GY,FSC,ECON,skiddingcost,type3,"Guyana-H, productivity of RIL skidding higher than CL skidding"
93,1.35.8,-1,southandcentralamerica,GY,FSC,ECON,totalcostofloggingoperations,type3,"Guyana-H, Total cost of RIL logging operation higher, not adjusted for timber wasted"
94,1.35.9,1,southandcentralamerica,BR,FSC,ECON,totalcostofloggingoperations,type3,"Brazil-H, total cost of logging operations was lower under RIL, when adjusted for waste"
95,1.36.1,1,southandcentralamerica,EC,FSC,ENV,grounddisturbance,type3,"Ecuador, less ground area disturbed under RIL"
96,1.36.2,-1,southandcentralamerica,EC,FSC,ECON,preloggingcosts,type3,"Ecuador, planning and infrastructure costs higher under RIL"
97,1.36.3,-1,southandcentralamerica,EC,FSC,ECON,skiddingcost,type3,"Ecuador, productivity of RIL skidding was lower than CL skidding"
98,1.36.4,-1,southandcentralamerica,EC,FSC,ECON,totalcostofloggingoperations,type3,"Ecuador, total cost of logging operation was higher under RIL, not waste adjusted"
99,1.36.5,-1,southandcentralamerica,EC,FSC,ECON,workerproductivity,type3,"Ecuador, RIL more time consuming"
100,1.37.1,1,southandcentralamerica,BR,FSC,ENV,canopylossgapsize,type3,"Brazil-H, canopy loss higher under CL"
101,1.37.2,0,southandcentralamerica,BR,FSC,ENV,canopylossgapsize,type3,"Brazil-H, gap size was the same under RIL and CL"
102,1.37.3,0,southandcentralamerica,BR,FSC,ENV,collateraldamage,type3,"Brazil-H, RIL and CL damaged about the same number of trees"
103,1.37.4,1,southandcentralamerica,BR,FSC,ENV,grounddisturbance,type3,"Brazil-H, less ground area was disturbed under RIL"
104,1.37.5,-1,southandcentralamerica,BR,FSC,ECON,preloggingcosts,type3,"Brazil-H, planning and infrastructure costs were higher under RIL"
105,1.37.6,1,southandcentralamerica,BR,FSC,ECON,profit,type3,Brazil-H profit margins were higher under RIL
106,1.37.7,1,southandcentralamerica,BR,FSC,ECON,skiddingcost,type3,"Brazil-H, skidding costs were higher under CL"
107,1.37.8,-1,southandcentralamerica,BR,FSC,ECON,workerproductivity,type3,"Brazil-H, RIL more time consuming"
108,1.38.1,1,southandcentralamerica,BR,FSC,ENV,canopylossgapsize,type3,"Brazil-Bb, there was less canopy loss under RIL"
109,1.38.10,-1,southandcentralamerica,BR,FSC,ECON,preloggingcosts,type3,"Brazil-Bs, planning and infrastructure costs were higher under RIL"
110,1.38.11,1,southandcentralamerica,BR,FSC,ECON,profit,type3,Brazil-Bb profit margins were higher under RIL
111,1.38.12,1,southandcentralamerica,BR,FSC,ECON,profit,type3,Brazil-Bs profit margins were higher under RIL
112,1.38.13,1,southandcentralamerica,BR,FSC,ECON,skiddingcost,type3,"Brazil-Bb, skidding costs were lower under RIL"
113,1.38.14,1,southandcentralamerica,BR,FSC,ECON,workerproductivity,type3,"Brazil-Bs, worker productivity was higher under RIL"
114,1.38.15,1,southandcentralamerica,BR,FSC,ECON,totalcostofloggingoperations,type3,"Brazil-Bb, when adjusted was waste, total costs of logging operations were lower under RIL"
115,1.38.16,1,southandcentralamerica,BR,FSC,ECON,totalcostofloggingoperations,type3,"Brazil-Bs, when adjusted was waste, total costs of logging operations were lower under RIL"
116,1.38.17,-1,southandcentralamerica,BR,FSC,ECON,workerproductivity,type3,"Brazil-Bb, RIL more time consuming"
117,1.38.18,1,southandcentralamerica,BR,FSC,ECON,skiddingcost,type3,"Brazil-Bs, skidding costs were lower under RIL"
118,1.38.2,1,southandcentralamerica,BR,FSC,ENV,canopylossgapsize,type3,"Brazil-Bs, canopy loss lower under RIL"
119,1.38.3,1,southandcentralamerica,BR,FSC,ENV,canopylossgapsize,type3,"Brazil-Bb, gap size lower under RIL"
120,1.38.4,1,southandcentralamerica,BR,FSC,ENV,canopylossgapsize,type3,"Brazil-Bs, gap size lower under RIL"
121,1.38.5,1,southandcentralamerica,BR,FSC,ENV,collateraldamage,type3,"Brazil-Bb, there were fewer damaged trees under RIL"
122,1.38.6,1,southandcentralamerica,BR,FSC,ENV,collateraldamage,type3,"Brazil-Bs, there were fewer damaged trees under RIL"
123,1.38.7,1,southandcentralamerica,BR,FSC,ENV,grounddisturbance,type3,"Brazil-Bb, less ground area disturbed under RIL"
124,1.38.8,1,southandcentralamerica,BR,FSC,ENV,grounddisturbance,type3,"Brazil-Bs, less ground area disturbed under RIL"
125,1.38.9,-1,southandcentralamerica,BR,FSC,ECON,preloggingcosts,type3,"Brazil-Bb, planning and infrastructure costs were higher under RIL"
126,1.39.1,1,southandcentralamerica,GY,FSC,ECON,preloggingcosts,type3,"RIL costs were lower than CL costs, which is exceptional because typically skid trails are not planned in CL"
127,1.39.2,1,southandcentralamerica,GY,FSC,ECON,skiddingcost,type3,RIL Skidding more productive
128,1.39.3,1,southandcentralamerica,GY,FSC,ECON,totalcostofloggingoperations,type3,"RIL total cost of logging operation was lower, which is exceptional, and it is because these cost do not include felling"
129,1.40.1,0,pantropical,"MY,ET,ID,PP,BR,BL,CM,CB,GB,GY,CS,BH,FG,CT,NI,GH,LA",FSC,ENV,carbonstockemissions,type1,"Effect of RIL on above ground biomass not discernible, mostly due to logging intensity"
130,1.40.2,1,pantropical,PAN,FSC,ENV,collateraldamage,type1,Residual tree damage lower under RIL
131,1.40.3,0,pantropical,PAN,FSC,ENV,treediversity,type1,Richness only impacted by logging intensity
132,1.42.1,1,asia,ID,FSC,ENV,canopylossgapsize,type3,"Smaller canopy loss, less damage (DRT) after certification"
133,1.42.10,-1,asia,MY,FSC,ECON,profit,type3,Negative NPV under all scenarios (KPKKT) after certification
134,1.42.11,-1,asia,MY,FSC,ECON,profit,type3,Negative NPV under all scenarios (PITC) after certification
135,1.42.12,1,asia,ID,FSC,ECON,profit,type3,Positive NPV under all scenarios (DRT) after certification
136,1.42.13,1,southandcentralamerica,BR,FSC,ECON,skiddingcosts,type3,Lower skidding and road construction costs after certification implemented
137,1.42.2,1,southandcentralamerica,BR,FSC,SOC,jobs,type3,"Despite lower production, more jobs were created (Cikel) after certification was implemented"
138,1.42.3,1,asia,ID,FSC,SOC,jobs,type3,More jobs were created (DRT) after certification was implemented
139,1.42.4,0,asia,MY,FSC,SOC,jobs,type3,Only marginal effect (KPKKT) on jobs after certification was implemented
140,1.42.5,1,asia,ID,FSC,ECON,managementandadministration,type3,"Reduction of intermediaries in export, which lead to reduced cost (DRT) after certification was implemented"
141,1.42.6,1,asia,MY,FSC,ECON,marketaccess,type3,Main driver of certification in this case is market access (KPKKT)
142,1.42.7,1,southandcentralamerica,BR,FSC,ECON,pricepremium,type3,"Price increased by 30%, but production volume decreased"
143,1.42.8,0,asia,MY,FSC,ECON,pricepremium,type3,No price premium achieved (KPKKT)
144,1.42.9,-1,southandcentralamerica,BR,FSC,ECON,profit,type3,Negative NPV under all scenarios (Cikel) after certification
145,1.43.1,1,asia,ID,FSC,SOC,communitywellbeingandlivelihoods,type1,FSC certification lead to fewer malnourished people in communities associated with the logging concessions
146,1.43.10,0,asia,ID,FSC,SOC,infrastructureandinstitutions,type1,FSC certification did not lead to an increase in health centres
147,1.43.2,1,asia,ID,FSC,SOC,directeconomicbenefits,type1,FSC certification resulted in more private funding available
148,1.43.3,1,asia,ID,FSC,SOC,communitywellbeingandlivelihoods,type1,FSC certification lead to reduced air pollution
149,1.43.4,1,asia,ID,FSC,SOC,communitywellbeingandlivelihoods,type1,FSC certification lead to less firewood dependence in communities associated with the logging concessions
150,1.43.5,1,asia,ID,FSC,SOC,communitywellbeingandlivelihoods,type1,FSC certification lead to a lower incidence of air-pollution related diseases
151,1.43.6,0,asia,ID,FSC,ENV,waterregulationerosionprevention,type1,FSC certification did not lead to a reduction in water pollution
152,1.43.7,1,asia,ID,FSC,ENV,deforestationfragmentationanddegradation,type1,FSC certification caused a 4.97% reduction in deforestation in certified villages
153,1.43.8,0,asia,ID,FSC,ENV,deforestationfragmentationanddegradation,type1,FSC certification did not lead to a change in Forest fire occurrence
154,1.43.9,0,asia,ID,FSC,SOC,infrastructureandinstitutions,type1,FSC certification did not lead to a change in street lighting in villages associated with the concession
155,1.44.1,1,asia,MY,FSC,ENV,collateraldamage,type3,"Under RIL, 21% of original stems were damaged, compared to 44% under CL."
156,1.44.10,-1,asia,MY,FSC,ECON,workerproductivity,type3,Felling time was significantly higher under RIL
157,1.44.2,1,asia,MY,FSC,SOC,compliancewithharvestregulations,type3,Steep slopes not all logged under RIL
158,1.44.3,-1,asia,MY,FSC,ECON,preloggingcosts,type3,"Per cubic meter and per ha, pre-logging costs were higher under RIL"
159,1.44.4,-1,asia,MY,FSC,ECON,profit,type3,Net Present Value was lower for RIL than for CL
160,1.44.5,-1,asia,MY,FSC,ECON,profit,type3,"Per ha area logged, the profit was lower for RIL than for CL"
161,1.44.6,1,asia,MY,FSC,ENV,roadandskidtraildensity,type3,"Under CL, roads and skid trails were longer and covered more area, log landings and bladed surface was larger"
162,1.44.7,1,asia,MY,FSC,ENV,setasidesandbufferzones,type3,"Steep slopes, buffers were set aside under RIL"
163,1.44.8,1,asia,MY,FSC,ECON,timberstock(sustainabilityofincome),type3,There was a 10% difference in growing timber stock
164,1.44.9,-1,asia,MY,FSC,ECON,totalcostofloggingoperations,type3,The total costs of logging operations was 18% lower under CL compared to RIL
165,1.45.1,-1,asia,ID,FSC,ECON,profit,type3,Profit per hectare was lower under RIL
166,1.45.2,0,asia,ID,FSC,ECON,totalcostofloggingoperations,type3,Cost per cubic meter were about the same for RIL and CL
167,1.46.1,-1,asia,MY,FSC,ECON,profit,type3,Profit per hectare was lower under RIL
168,1.46.2,-1,asia,MY,FSC,ECON,totalcostofloggingoperations,type3,Cost per cubic meter was lower under CL
169,1.47.1,0,africa,GB,FSC,ECON,profit,type3,Profit per hectare was about the same under RIL and CL
170,1.47.2,-1,africa,GB,FSC,ECON,totalcostofloggingoperations,type3,Cost per cubic meter was lower under CL
171,1.48.1,-1,asia,MY,FSC,ECON,profit,type3,Profit per hectare was lower under RIL
172,1.48.2,0,asia,MY,FSC,ECON,totalcostofloggingoperations,type3,Cost per cubic meter was about the same for RIL and CL
173,1.49.1,0,asia,MY,FSC,ECON,profit,type3,Profit per hectare was about the same under RIL and CL
174,1.49.2,1,asia,MY,FSC,ECON,totalcostofloggingoperations,type3,Cost per cubic meter was lower under RIL
175,1.51.1,0,southandcentralamerica,MX,FSC,ENV,deforestationfragmentationanddegradation,type1,The results offer no evidence that FSC certification affects deforestation.
176,1.52.1,1,southandcentralamerica,"BH,BL,BR,GH,MY,CS,EC,IN,ID,MY",FSC,ENV,animaldiversity,type1,Species richness in RIL concessions is higher than in CL concessions.
177,1.52.2,1,pantropical,"BH,BL,BR,GH,MY,CS,EC,IN,ID,MY",FSC,ENV,animaldiversity,type1,Bird species richness in RIL concessions was marginally higher than in CL concessions.
178,1.52.3,1,pantropical,"BH,BL,BR,GH,MY,CS,EC,IN,ID,MY",FSC,ENV,animaldiversity,type1,Arthropod species richness in RIL concessions was higher than in CL concessions.
179,1.52.4,1,pantropical,"BH,BL,BR,GH,MY,CS,EC,IN,ID,MY",FSC,ENV,treediversity,type1,Plant species richness in RIL concessions was higher than in CL concessions.
180,1.52.5,0,pantropical,"BH,BL,BR,GH,MY,CS,EC,IN,ID,MY",FSC,ENV,animaldiversity,type1,Mammal species richness in RIL concessions was about the same as in CL concessions.
181,1.7.1,1,pantropical,MY,FSC,ENV,animaldiversity,type3,Significantly higher species richness of large bodied mammals in certified concession
182,1.7.2,1,asia,MY,FSC,ENV,carbonstockemissions,type3,Higher carbon density in above-ground vegetation can be attributed to sustainable forest management in certified concession
183,1.7.3,1,asia,MY,FSC,ENV,setasidesandbufferzones,type3,Conservation areas (where no logging happens) established in certified concessions
